classifier,T,mean,std,n
LightGBM,0.0,0.6018,0.0015,10
LightGBM,0.02,0.6007,0.0022,10
LightGBM,0.04,0.6017,0.0021,10
LightGBM,0.065,0.6033,0.0013,10
LightGBM,0.1,0.6176,0.0019,10
LightGBM,0.15,0.6100,0.0016,10
LightGBM,0.2,0.5905,0.0024,10
LightGBM,0.3,0.5316,0.0066,10
LightGBM,0.5,0.2762,0.0149,10
MLP,0.0,0.5468,0.0137,10
MLP,0.02,0.5521,0.0177,10
MLP,0.04,0.5428,0.0176,10
MLP,0.065,0.5434,0.0163,10
MLP,0.1,0.5610,0.0206,10
MLP,0.15,0.5435,0.0233,10
MLP,0.2,0.5136,0.0233,10
MLP,0.3,0.4130,0.0449,10
MLP,0.5,0.1653,0.0292,10
RandomForest,0.0,0.4539,0.0021,10
RandomForest,0.02,0.4548,0.0024,10
RandomForest,0.04,0.4523,0.0028,10
RandomForest,0.065,0.4553,0.0031,10
RandomForest,0.1,0.4443,0.0027,10
RandomForest,0.15,0.3718,0.0027,10
RandomForest,0.2,0.2641,0.0042,10
RandomForest,0.3,0.1716,0.0021,10
RandomForest,0.5,0.0805,0.0011,10
XGBoost,0.0,0.5818,0.0017,10
XGBoost,0.02,0.5818,0.0023,10
XGBoost,0.04,0.5824,0.0014,10
XGBoost,0.065,0.5836,0.0023,10
XGBoost,0.1,0.5933,0.0017,10
XGBoost,0.15,0.5804,0.0036,10
XGBoost,0.2,0.5535,0.0046,10
XGBoost,0.3,0.4746,0.0085,10
XGBoost,0.5,0.2376,0.0148,10
