classifier,T,mean,std,n
LightGBM,0.0,0.9624,0.0005,10
LightGBM,0.02,0.9622,0.0004,10
LightGBM,0.04,0.9621,0.0003,10
LightGBM,0.065,0.9625,0.0003,10
LightGBM,0.1,0.9619,0.0002,10
LightGBM,0.15,0.9597,0.0004,10
LightGBM,0.2,0.9574,0.0004,10
LightGBM,0.3,0.9519,0.0006,10
LightGBM,0.5,0.9072,0.0022,10
MLP,0.0,0.9610,0.0017,10
MLP,0.02,0.9587,0.0015,10
MLP,0.04,0.9578,0.0022,10
MLP,0.065,0.9590,0.0021,10
MLP,0.1,0.9597,0.0020,10
MLP,0.15,0.9571,0.0020,10
MLP,0.2,0.9529,0.0031,10
MLP,0.3,0.9419,0.0034,10
MLP,0.5,0.8790,0.0243,10
RandomForest,0.0,0.9379,0.0002,10
RandomForest,0.02,0.9377,0.0003,10
RandomForest,0.04,0.9378,0.0002,10
RandomForest,0.065,0.9378,0.0002,10
RandomForest,0.1,0.9364,0.0003,10
RandomForest,0.15,0.9321,0.0004,10
RandomForest,0.2,0.9247,0.0003,10
RandomForest,0.3,0.9049,0.0004,10
RandomForest,0.5,0.8279,0.0025,10
XGBoost,0.0,0.9591,0.0003,10
XGBoost,0.02,0.9590,0.0004,10
XGBoost,0.04,0.9590,0.0003,10
XGBoost,0.065,0.9593,0.0003,10
XGBoost,0.1,0.9590,0.0004,10
XGBoost,0.15,0.9574,0.0005,10
XGBoost,0.2,0.9546,0.0005,10
XGBoost,0.3,0.9479,0.0004,10
XGBoost,0.5,0.9028,0.0012,10
