classifier,T,mean,std,n
LightGBM,0.0,33.46,0.12,10
LightGBM,0.02,33.37,0.08,10
LightGBM,0.04,33.34,0.12,10
LightGBM,0.065,33.34,0.21,10
LightGBM,0.1,34.16,0.18,10
LightGBM,0.15,35.21,0.45,10
LightGBM,0.2,34.69,0.63,10
LightGBM,0.3,30.78,0.66,10
LightGBM,0.5,8.01,1.09,10
MLP,0.0,31.07,2.75,10
MLP,0.02,32.88,1.55,10
MLP,0.04,32.08,2.44,10
MLP,0.065,32.39,2.20,10
MLP,0.1,32.75,2.69,10
MLP,0.15,31.42,3.06,10
MLP,0.2,27.29,4.47,10
MLP,0.3,17.37,6.26,10
MLP,0.5,3.09,0.41,10
RandomForest,0.0,28.69,0.05,10
RandomForest,0.02,28.71,0.06,10
RandomForest,0.04,28.66,0.04,10
RandomForest,0.065,28.68,0.07,10
RandomForest,0.1,28.39,0.06,10
RandomForest,0.15,19.57,3.72,10
RandomForest,0.2,9.02,0.51,10
RandomForest,0.3,1.09,0.02,10
RandomForest,0.5,0.87,0.03,10
XGBoost,0.0,33.64,0.16,10
XGBoost,0.02,33.51,0.15,10
XGBoost,0.04,33.46,0.31,10
XGBoost,0.065,33.69,0.28,10
XGBoost,0.1,33.80,0.25,10
XGBoost,0.15,33.34,0.39,10
XGBoost,0.2,33.07,0.33,10
XGBoost,0.3,28.54,1.56,10
XGBoost,0.5,6.71,1.02,10
