T,ECE_10eq,ECE_adapt_5,ECE_adapt_10,ECE_adapt_15,ECE_class_freq_adj,brier_brier_score,brier_reliability,brier_resolution,brier_uncertainty,brier_base_rate
0.065,0.024833684375986587,0.024833684375986584,0.024833684375986584,0.02483368437598658,0.23949365606033612,0.016597282942413985,0.005965547230281303,0.006758278541479843,0.017390014253612526,0.01770342552907607
0.080,0.02108434818751899,0.02108434818751899,0.02108434818751899,0.02108434818751899,0.21313390280585634,0.014942984707625144,0.0045831480442619955,0.007037236597492657,0.017397073260855805,0.017710743703382718
0.100,0.018596364433632422,0.01859636443363242,0.01859636443363242,0.01859636443363242,0.19833423194223984,0.014059776376188547,0.0037816688851517346,0.007107813651690259,0.017385921142727072,0.01769918219302911
0.120,0.016245504880516175,0.016245504880516178,0.016245504880516178,0.016245504880516178,0.1848780514611819,0.013371271893396321,0.0031656478217480396,0.007163220853718573,0.017368844925366854,0.017681479647906177
0.150,0.01426855137335778,0.014268551373357785,0.014268551373357785,0.014268551373357785,0.16166031510491302,0.012980725588348195,0.00283468137088431,0.007239408707064637,0.017385452924528522,0.017698696792688026
0.180,0.012477824604165551,0.012477824604165551,0.012477824604165551,0.012477824604165551,0.15420844703351863,0.012704342249830122,0.0024032741185897955,0.00706644634807042,0.017367514479310748,0.017680100430544902
0.200,0.01148154487454832,0.011481544874548319,0.011481544874548319,0.011481544874548319,0.13883655510931656,0.012721564652323358,0.00235577585117186,0.0070138301438790514,0.01737961894503055,0.017692648765365127
0.250,0.009135088433960596,0.009135088433960596,0.009135088433960596,0.009135088433960596,0.12146821302120549,0.012596830291958107,0.0019431203909224782,0.006671775257089217,0.017325485158124845,0.017636532434435748
0.300,0.007133238784285276,0.00657133060864566,0.00657133060864566,0.00657133060864566,0.11159413675129884,0.01273941728390299,0.001577492240085798,0.00621288880106452,0.017374813844881713,0.017687667423775814
0.400,0.007665861226791818,0.007665861226791819,0.007665861226791819,0.007665861226791819,0.0745776066775734,0.013928984090685381,0.000693271301902542,0.004059949284732063,0.017295662073514902,0.017605619926511686
0.500,0.009268598284263881,0.009008058783616792,0.009008058783616792,0.009008058783616792,0.044807906071665314,0.015205527615118425,0.0004216063240450834,0.00250099423258725,0.017284915523660592,0.017594481295726255
