T,malware_retained,mal_ben_ratio,win32_pct,win64_pct,dotnet_pct,median_r,mean_r,near_boundary_frac
0.065,1154249,0.9865,0.6669,0.2224,0.1107,0.6883,0.5889,0.0893
0.08,1104323,0.9439,0.6693,0.2207,0.1099,0.7013,0.6123,0.0631
0.1,1073392,0.9174,0.6714,0.219,0.1096,0.7105,0.6274,0.0516
0.12,1042914,0.8914,0.6759,0.2158,0.1083,0.72,0.6426,0.0377
0.15,1017998,0.8701,0.6793,0.2128,0.1079,0.7273,0.655,0.0339
0.18,996732,0.8519,0.6817,0.2104,0.1079,0.7333,0.6655,0.0296
0.2,983517,0.8406,0.6832,0.2091,0.1078,0.7368,0.6719,0.0275
0.25,956438,0.8175,0.6859,0.2062,0.1078,0.7467,0.6845,0.0322
0.3,925658,0.7912,0.6907,0.2015,0.1078,0.7532,0.6981,0.0407
0.4,847537,0.7244,0.7111,0.1851,0.1039,0.7763,0.7303,0.0487
0.5,772847,0.6606,0.7325,0.1706,0.0969,0.7895,0.7577,0.0495
